Url,MalScore,FirstSubmission,LastSubmission,LastAnalysis,VT_Link
http://lockbit7z2jwcskxpbokpemdxmltipntwlkmidcll2qirbu7ykg46eyd.onion,1,02/07/2022 9:37,28/08/2025 7:56,28/08/2025 7:56,https://www.virustotal.com/gui/url/aHR0cDovL2xvY2tiaXQ3ejJqd2Nza3hwYm9rcGVtZHhtbHRpcG50d2xrbWlkY2xsMnFpcmJ1N3lrZzQ2ZXlkLm9uaW9u
http://lockbit7z36ynytxwjzuoao46ck7b3753gpedary3qvuizn3iczhe4id.onion,1,04/07/2022 8:50,20/08/2025 4:56,20/08/2025 4:56,https://www.virustotal.com/gui/url/aHR0cDovL2xvY2tiaXQ3ejM2eW55dHh3anp1b2FvNDZjazdiMzc1M2dwZWRhcnkzcXZ1aXpuM2ljemhlNGlkLm9uaW9u
http://lockbitkodidilol.onion/,2,30/11/2020 17:45,07/05/2025 21:03,07/05/2025 21:03,https://www.virustotal.com/gui/url/aHR0cDovL2xvY2tiaXRrb2RpZGlsb2wub25pb24v
http://lockbitks2tvnmwk.onion,6,26/10/2020 1:25,15/08/2025 11:52,15/08/2025 11:52,https://www.virustotal.com/gui/url/aHR0cDovL2xvY2tiaXRrczJ0dm5td2sub25pb24
http://microsoftbackup.systems:443/,0,26/08/2025 0:02,26/08/2025 0:02,26/08/2025 0:02,https://www.virustotal.com/gui/url/aHR0cDovL21pY3Jvc29mdGJhY2t1cC5zeXN0ZW1zOjQ0My8
http://lockbit-blog.com,2,23/05/2020 11:30,25/06/2025 6:22,25/06/2025 6:22,https://www.virustotal.com/gui/url/aHR0cDovL2xvY2tiaXQtYmxvZy5jb20
http://sarcomawmawlhov7o5mdhz4eszxxlkyaoiyiy2b5iwxnds2dmb4jakad.onion/,2,09/10/2024 15:23,28/08/2025 14:10,28/08/2025 14:10,https://www.virustotal.com/gui/url/aHR0cDovL3NhcmNvbWF3bWF3bGhvdjdvNW1kaHo0ZXN6eHhsa3lhb2l5aXkyYjVpd3huZHMyZG1iNGpha2FkLm9uaW9uLw
http://sarcomabwgzv7ogiulwqfmlul6mjcxy6o3owuld4lqguvevf4kgp3lqd.onion/,1,28/05/2025 6:15,09/09/2025 21:51,09/09/2025 21:51,https://www.virustotal.com/gui/url/aHR0cDovL3NhcmNvbWFid2d6djdvZ2l1bHdxZm1sdWw2bWpjeHk2bzNvd3VsZDRscWd1dmV2ZjRrZ3AzbHFkLm9uaW9uLw
https://ss.qwadx.com/spoolsvc.rar,2,23/06/2025 6:19,23/06/2025 6:19,23/06/2025 6:19,https://www.virustotal.com/gui/url/aHR0cHM6Ly9zcy5xd2FkeC5jb20vc3Bvb2xzdmMucmFy
http://85.209.128.171:8080/3.rar,0,26/06/2025 8:01,26/06/2025 8:01,26/06/2025 8:01,https://www.virustotal.com/gui/url/aHR0cDovLzg1LjIwOS4xMjguMTcxOjgwODAvMy5yYXI
